conc	day	run	replicate	y
High_Dose	6	2	3	10.76
High_Dose	7	2	3	12.43
High_Dose	8	2	3	8.31
High_Dose	9	2	3	9.56
High_Dose	10	2	3	9.79
High_Dose	11	2	3	10.24
High_Dose	12	2	3	9.18
High_Dose	13	2	3	12.75
High_Dose	14	2	3	8.95
High_Dose	15	2	3	8.16
High_Dose	16	2	3	11.23
High_Dose	17	2	3	12.84
High_Dose	18	2	3	10.84
High_Dose	19	2	3	11.58
High_Dose	20	2	3	12.05
Positive_Ctrl	1	1	1	15.89
Positive_Ctrl	2	1	1	15.65
Positive_Ctrl	3	1	1	15.03
Positive_Ctrl	4	1	1	15.77
Positive_Ctrl	5	1	1	15.43
Positive_Ctrl	6	1	1	14.66
Positive_Ctrl	7	1	1	16.34
Positive_Ctrl	8	1	1	15.04
Positive_Ctrl	9	1	1	15.82
Positive_Ctrl	10	1	1	15.71
Positive_Ctrl	11	1	1	15.7
Positive_Ctrl	12	1	1	16.22
Positive_Ctrl	13	1	1	15.33
Positive_Ctrl	14	1	1	16.03
Positive_Ctrl	15	1	1	16.39
Positive_Ctrl	16	1	1	15
Positive_Ctrl	17	1	1	15.52
Positive_Ctrl	18	1	1	15.06
Positive_Ctrl	19	1	1	14.39
Positive_Ctrl	20	1	1	15.13
Positive_Ctrl	1	2	1	16.15
Positive_Ctrl	2	2	1	15.6
Positive_Ctrl	3	2	1	15.5
Positive_Ctrl	4	2	1	15.18
Positive_Ctrl	5	2	1	15.78
Positive_Ctrl	6	2	1	15.34
Positive_Ctrl	7	2	1	15.86
Positive_Ctrl	8	2	1	15.86
Positive_Ctrl	9	2	1	14.89
Positive_Ctrl	10	2	1	15.31
Positive_Ctrl	11	2	1	15.6
Positive_Ctrl	12	2	1	14.63
Positive_Ctrl	13	2	1	15.95
Positive_Ctrl	14	2	1	15.31
Positive_Ctrl	15	2	1	14.54
Positive_Ctrl	16	2	1	16.97
Positive_Ctrl	17	2	1	15.04
Positive_Ctrl	18	2	1	15.43
Positive_Ctrl	19	2	1	15.92
Positive_Ctrl	20	2	1	15.47
Positive_Ctrl	1	1	2	15.01
Positive_Ctrl	2	1	2	15.17
Positive_Ctrl	3	1	2	15.56
Positive_Ctrl	4	1	2	14.93
Positive_Ctrl	5	1	2	15.48
Positive_Ctrl	6	1	2	15.7
Positive_Ctrl	7	1	2	14.35
Positive_Ctrl	8	1	2	16.76
Positive_Ctrl	9	1	2	15.36
Positive_Ctrl	10	1	2	15.66
Positive_Ctrl	11	1	2	15.41
Positive_Ctrl	12	1	2	14.92
Positive_Ctrl	13	1	2	15.45
Positive_Ctrl	14	1	2	15.5
Positive_Ctrl	15	1	2	15.66
Positive_Ctrl	16	1	2	16.72
Positive_Ctrl	17	1	2	14.94
Positive_Ctrl	18	1	2	15.85
Positive_Ctrl	19	1	2	15.41
Positive_Ctrl	20	1	2	15.26
Positive_Ctrl	1	2	2	15.08
Positive_Ctrl	2	2	2	15.32
Positive_Ctrl	3	2	2	15.76
Positive_Ctrl	4	2	2	15.54
Positive_Ctrl	5	2	2	15.82
Positive_Ctrl	6	2	2	14.78
Positive_Ctrl	7	2	2	15.28
Positive_Ctrl	8	2	2	15.96
Positive_Ctrl	9	2	2	15.11
Positive_Ctrl	10	2	2	14.79
Positive_Ctrl	11	2	2	15.08
Positive_Ctrl	12	2	2	15.93
Positive_Ctrl	13	2	2	14.54
Positive_Ctrl	14	2	2	15.22
Positive_Ctrl	15	2	2	15.3
Positive_Ctrl	16	2	2	15.78
Positive_Ctrl	17	2	2	14.83
Positive_Ctrl	18	2	2	15.68
Positive_Ctrl	19	2	2	15.42
Positive_Ctrl	20	2	2	16.78
Positive_Ctrl	1	1	3	15.33
Positive_Ctrl	2	1	3	15.35
Positive_Ctrl	3	1	3	16.85
Positive_Ctrl	4	1	3	14.79
Positive_Ctrl	5	1	3	15.9
Positive_Ctrl	6	1	3	15.02
Positive_Ctrl	7	1	3	16.04
Positive_Ctrl	8	1	3	15.47
Positive_Ctrl	9	1	3	15.81
Positive_Ctrl	10	1	3	15.85
Positive_Ctrl	11	1	3	14.91
Positive_Ctrl	12	1	3	15.58
Positive_Ctrl	13	1	3	15.38
Positive_Ctrl	14	1	3	15
Positive_Ctrl	15	1	3	15.61
Positive_Ctrl	16	1	3	14.96
Positive_Ctrl	17	1	3	16.11
Positive_Ctrl	18	1	3	14.65
Positive_Ctrl	19	1	3	15.32
Positive_Ctrl	20	1	3	16.09
Positive_Ctrl	1	2	3	15.66
Positive_Ctrl	2	2	3	14.69
Positive_Ctrl	3	2	3	16.14
Positive_Ctrl	4	2	3	14.79
Positive_Ctrl	5	2	3	15.78
Positive_Ctrl	6	2	3	15.42
Positive_Ctrl	7	2	3	16.18
Positive_Ctrl	8	2	3	15.5
Positive_Ctrl	9	2	3	15.75
Positive_Ctrl	10	2	3	15.51
Positive_Ctrl	11	2	3	14.99
Positive_Ctrl	12	2	3	14.83
Positive_Ctrl	13	2	3	16.09
Positive_Ctrl	14	2	3	15.41
Positive_Ctrl	15	2	3	15.96
Positive_Ctrl	16	2	3	15.09
Positive_Ctrl	17	2	3	14.77
Positive_Ctrl	18	2	3	14.45
Positive_Ctrl	19	2	3	16.21
Positive_Ctrl	20	2	3	15.41
